timestamp,eye_open,perclos,mar,head_tilt,head_nod,status
1769707840.0121148,8.16,0.0,0.23,1,0,WARNING
1769707840.0783143,7.4,0.0,0.23,1,0,WARNING
1769707840.085744,7.26,0.0,0.23,1,0,WARNING
1769707840.1145895,7.15,0.0,0.23,1,0,WARNING
1769707840.1591778,7.33,0.0,0.23,1,0,WARNING
1769707840.1791987,7.24,0.0,0.23,1,0,WARNING
1769707840.2108107,7.01,0.0,0.23,1,0,WARNING
1769707840.2411377,6.38,0.0,0.23,1,0,WARNING
1769707840.2851965,6.1,0.0,0.23,1,0,WARNING
1769707840.3023307,6.7,0.0,0.23,1,0,WARNING
1769707840.3383718,6.96,0.0,0.23,1,0,WARNING
1769707840.40276,7.32,0.0,0.23,1,0,WARNING
1769707840.416784,7.31,0.0,0.23,1,0,WARNING
1769707840.4493432,7.43,0.0,0.23,1,0,WARNING
1769707840.4922237,7.41,0.0,0.23,1,0,WARNING
1769707840.5113523,7.44,0.0,0.23,1,0,WARNING
1769707840.5443888,7.5,0.0,0.23,1,0,WARNING
1769707840.5770242,7.78,0.0,0.23,1,0,WARNING
1769707840.6226308,7.75,0.0,0.23,1,0,WARNING
1769707840.6404264,7.83,0.0,0.23,1,0,WARNING
1769707840.6710472,7.87,0.0,0.23,1,0,WARNING
1769707840.709997,7.99,0.0,0.23,1,0,WARNING
1769707840.7489865,7.83,0.0,0.23,1,0,WARNING
1769707840.79338,8.03,0.0,0.23,1,0,WARNING
1769707840.8248374,8.09,0.0,0.23,1,0,WARNING
1769707840.8579063,8.22,0.0,0.23,1,0,WARNING
1769707840.8881516,8.2,0.0,0.23,1,0,WARNING
1769707840.9159648,8.34,0.0,0.23,1,0,WARNING
1769707840.9502478,8.59,0.0,0.23,1,0,WARNING
1769707840.9768555,8.42,0.0,0.23,1,0,WARNING
1769707841.0097675,8.33,0.0,0.23,1,0,WARNING
1769707841.0520954,8.33,0.0,0.23,1,0,WARNING
1769707841.0786562,8.34,0.0,0.23,1,0,WARNING
1769707841.14585,8.49,0.0,0.23,1,0,WARNING
1769707841.1635609,8.38,0.0,0.23,1,0,WARNING
1769707841.183034,8.66,0.0,0.23,1,0,WARNING
1769707841.2239711,8.52,0.0,0.23,1,0,WARNING
1769707841.245863,8.59,0.0,0.23,1,0,WARNING
1769707841.2808003,8.54,0.0,0.23,1,0,WARNING
1769707841.3183753,8.48,0.0,0.23,1,0,WARNING
1769707841.352618,8.54,0.0,0.23,1,0,WARNING
1769707841.3768692,8.58,0.0,0.23,1,0,WARNING
1769707841.421234,8.56,0.0,0.23,1,0,WARNING
1769707841.4386475,8.55,0.0,0.23,1,0,WARNING
1769707841.4975386,8.68,0.0,0.23,1,0,WARNING
1769707841.5278294,8.23,0.0,0.23,1,0,WARNING
1769707841.5583115,8.69,0.0,0.23,1,0,WARNING
1769707841.5930269,8.57,0.0,0.23,1,0,WARNING
1769707841.6158214,8.67,0.0,0.23,1,0,WARNING
1769707841.6467957,8.61,0.0,0.23,1,0,WARNING
1769707841.681604,8.43,0.0,0.23,1,0,WARNING
1769707841.7109425,8.6,0.0,0.23,1,0,WARNING
1769707841.7466059,8.66,0.0,0.23,1,0,WARNING
1769707841.7748137,8.56,0.0,0.23,1,0,WARNING
1769707841.8154025,8.62,0.0,0.23,1,0,WARNING
1769707841.8593616,8.64,0.0,0.23,1,0,WARNING
1769707841.8872962,8.69,0.0,0.23,1,0,WARNING
1769707841.9205527,8.63,0.0,0.23,1,0,WARNING
1769707841.9594107,8.49,0.0,0.23,1,0,WARNING
